Medication,Frequency (Patient Level),Percentage
nitrate ion,8,0.24191109767160568
isosorbide dinitrate,8,0.24191109767160568
niacin,7,0.21167221046265497
tricor,7,0.21167221046265497
cardizem,6,0.18143332325370426
coreg,6,0.18143332325370426
glucovance,6,0.18143332325370426
humulin n,6,0.18143332325370426
niaspan,6,0.18143332325370426
lovastatin,6,0.18143332325370426
lescol,6,0.18143332325370426
metformin,6,0.18143332325370426
insulin lispro,6,0.18143332325370426
mevacor,6,0.18143332325370426
vasotec,5,0.15119443604475355
humulin r,5,0.15119443604475355
hyzaar,5,0.15119443604475355
fenofibrate,5,0.15119443604475355
propranolol hydrochloride,5,0.15119443604475355
valsartan,5,0.15119443604475355
altace,5,0.15119443604475355
ramipril,4,0.12095554883580284
insulin glargine,4,0.12095554883580284
pioglitazone,4,0.12095554883580284
novolin,4,0.12095554883580284
sotalol,4,0.12095554883580284
tenormin,4,0.12095554883580284
monopril,3,0.09071666162685213
glimepiride,3,0.09071666162685213
netupitant,3,0.09071666162685213
fosinopril,3,0.09071666162685213
accupril,3,0.09071666162685213
nitrostat,3,0.09071666162685213
gonitro,3,0.09071666162685213
inderal,3,0.09071666162685213
5 ml metoprolol tartrate 1 mg/ml cartridge,3,0.09071666162685213
rosuvastatin,3,0.09071666162685213
vytorin,3,0.09071666162685213
irbesartan,3,0.09071666162685213
asacol,3,0.09071666162685213
prinivil,3,0.09071666162685213
nadolol,2,0.06047777441790142
zestoretic,2,0.06047777441790142
dilt,2,0.06047777441790142
timolol,2,0.06047777441790142
sitagliptin phosphate,2,0.06047777441790142
januvia,2,0.06047777441790142
starch,2,0.06047777441790142
enalapril,2,0.06047777441790142
glynase,2,0.06047777441790142
fluvastatin,2,0.06047777441790142
amlodipine,2,0.06047777441790142
"insulin aspart, human",2,0.06047777441790142
ezetimibe,2,0.06047777441790142
calan,2,0.06047777441790142
ascorbic acid,2,0.06047777441790142
atacand,2,0.06047777441790142
chlorpropamide,2,0.06047777441790142
nitro-dur,2,0.06047777441790142
rosiglitazone maleate,2,0.06047777441790142
insulin detemir,2,0.06047777441790142
metolazone,2,0.06047777441790142
nicardipine,2,0.06047777441790142
bisoprolol,2,0.06047777441790142
amaryl,1,0.03023888720895071
lantiseptic,1,0.03023888720895071
adalat,1,0.03023888720895071
ticlid,1,0.03023888720895071
troglitazone,1,0.03023888720895071
caduet,1,0.03023888720895071
mesalamine,1,0.03023888720895071
inulin,1,0.03023888720895071
"immunoglobulins, intravenous",1,0.03023888720895071
balversa,1,0.03023888720895071
trandate,1,0.03023888720895071
ranexa,1,0.03023888720895071
novolog mix,1,0.03023888720895071
candesartan,1,0.03023888720895071
glyset,1,0.03023888720895071
blockade,1,0.03023888720895071
levamlodipine,1,0.03023888720895071
vaseretic,1,0.03023888720895071
mavik,1,0.03023888720895071
adzenys,1,0.03023888720895071
esmolol,1,0.03023888720895071
enobosarm,1,0.03023888720895071
cholesterol,1,0.03023888720895071
triamterene,1,0.03023888720895071
oxiconazole,1,0.03023888720895071
lotensin,1,0.03023888720895071
quinapril,1,0.03023888720895071
zebeta,1,0.03023888720895071
levemir,1,0.03023888720895071
qnasl,1,0.03023888720895071
avalide,1,0.03023888720895071
felodipine,1,0.03023888720895071
ranolazine,1,0.03023888720895071
benicar,1,0.03023888720895071
lasix,1,0.03023888720895071
glycine,1,0.03023888720895071
novolin r,1,0.03023888720895071
nystatin,1,0.03023888720895071
numfast,1,0.03023888720895071
benzyl alcohol,1,0.03023888720895071
miconazole nitrate,1,0.03023888720895071
ativan,1,0.03023888720895071
metopirone,1,0.03023888720895071
pentasa,1,0.03023888720895071
pluset,1,0.03023888720895071
propranolol,1,0.03023888720895071
aspartate,1,0.03023888720895071
spironolactone,1,0.03023888720895071
pitavastatin,1,0.03023888720895071
nitroxoline,1,0.03023888720895071
nitro-bid,1,0.03023888720895071
bumex,1,0.03023888720895071
metyrosine,1,0.03023888720895071
amlodipine 10 mg / telmisartan 40 mg oral tablet,1,0.03023888720895071
amlodipine besylate,1,0.03023888720895071
