Medication,Number of Mentions,Percentage
lescol,51,0.10779050598131631
insulin lispro,50,0.10567696664834933
becaplermin,50,0.10567696664834933
ramipril,48,0.10144988798241536
accupril,45,0.09510926998351439
atacand,44,0.0929957306505474
glynase,42,0.08876865198461342
fenofibrate,41,0.08665511265164644
inderal,41,0.08665511265164644
propranolol hydrochloride,39,0.08242803398571247
monopril,38,0.08031449465274548
humulin n,36,0.07608741598681151
valsartan,35,0.07397387665384453
5 ml metoprolol tartrate 1 mg/ml cartridge,34,0.07186033732087754
nitrostat,33,0.06974679798791056
c1 esterase inhibitor (human),31,0.06551971932197659
glimepiride,30,0.0634061799890096
tenormin,30,0.0634061799890096
humulin r,30,0.0634061799890096
vytorin,28,0.05917910132307563
zebeta,27,0.05706556199010864
nitrate ion,26,0.05495202265714165
ezetimibe,25,0.052838483324174665
trandate,25,0.052838483324174665
januvia,22,0.0464978653252737
novolin,22,0.0464978653252737
bisoprolol,21,0.04438432599230671
mavik,16,0.03381662932747179
calan,15,0.0317030899945048
nadolol,15,0.0317030899945048
nitromist,15,0.0317030899945048
metolazone,15,0.0317030899945048
metformin,14,0.029589550661537813
fluvastatin,14,0.029589550661537813
nitro-dur,14,0.029589550661537813
levemir,12,0.02536247199560384
netupitant,12,0.02536247199560384
rosuvastatin,12,0.02536247199560384
asacol,12,0.02536247199560384
insulin glargine,10,0.021135393329669863
chlorpropamide,10,0.021135393329669863
glyset,9,0.019021853996702878
adalat,9,0.019021853996702878
quinapril,9,0.019021853996702878
balversa,9,0.019021853996702878
propranolol,9,0.019021853996702878
troglitazone,9,0.019021853996702878
enalapril,9,0.019021853996702878
"insulin aspart, human",9,0.019021853996702878
felodipine,9,0.019021853996702878
insulin detemir,9,0.019021853996702878
metopirone,9,0.019021853996702878
amaryl,9,0.019021853996702878
sitagliptin phosphate,8,0.016908314663735893
blockade,7,0.014794775330768907
timolol,6,0.01268123599780192
amlodipine,6,0.01268123599780192
caduet,6,0.01268123599780192
ranolazine,6,0.01268123599780192
ativan,6,0.01268123599780192
ranexa,6,0.01268123599780192
lotensin,6,0.01268123599780192
metyrosine,6,0.01268123599780192
candesartan,6,0.01268123599780192
avalide,6,0.01268123599780192
rosiglitazone maleate,6,0.01268123599780192
vaseretic,6,0.01268123599780192
ascorbic acid,6,0.01268123599780192
nicardipine,5,0.010567696664834932
lantiseptic,3,0.00634061799890096
gonitro,3,0.00634061799890096
inulin,3,0.00634061799890096
enobosarm,3,0.00634061799890096
oxiconazole,3,0.00634061799890096
spironolactone,3,0.00634061799890096
amlodipine besylate,3,0.00634061799890096
qnasl,3,0.00634061799890096
bumex,3,0.00634061799890096
novolog mix,3,0.00634061799890096
aspartate,3,0.00634061799890096
pluset,3,0.00634061799890096
novolin r,3,0.00634061799890096
miconazole nitrate,3,0.00634061799890096
benzyl alcohol,3,0.00634061799890096
nystatin,3,0.00634061799890096
glycine,3,0.00634061799890096
mesalamine,3,0.00634061799890096
amlodipine 10 mg / telmisartan 40 mg oral tablet,2,0.004227078665933973
"immunoglobulins, intravenous",2,0.004227078665933973
benicar,2,0.004227078665933973
numfast,2,0.004227078665933973
starch,2,0.004227078665933973
ticlid,2,0.004227078665933973
dilt,2,0.004227078665933973
pitavastatin,2,0.004227078665933973
nitro-bid,1,0.0021135393329669867
levamlodipine,1,0.0021135393329669867
lasix,1,0.0021135393329669867
adzenys,1,0.0021135393329669867
esmolol,1,0.0021135393329669867
cholesterol,1,0.0021135393329669867
triamterene,1,0.0021135393329669867
nitroxoline,1,0.0021135393329669867
pentasa,1,0.0021135393329669867
